ID,First name,Last name,Position
NULL,Douglas,Swanson,Oncologists
NULL,Maribel,Neal,Oncologists
NULL,Thalia,Oneal,Cardiologists
NULL,Maximilian,Swanson,Cardiologists
NULL,Ruben,Wise,Cardiologists
NULL,Jaiden,West,Cardiologists
NULL,William,Houston,Paediatrician
NULL,Denisse,Santos,Gynaecologist
NULL,Louis,Thomas,Gynaecologist
NULL,Cloe,Rosario,Obstetrician
NULL,Sloane,Acevedo,Surgeon
NULL,Kadence,Lozano,Surgeon
NULL,Nasir,Gill,Surgeon
NULL,Dania,Gregory,Surgeon
NULL,Kristina,Mcneil,Surgeon
NULL,Alissa,Hess,Surgeon
NULL,Heidi,Carroll,Neurologists
NULL,Dominik,Ingram,Neurologists
NULL,Nathaly,Rios,Neurologists
NULL,Paxton,Herring,Anaesthetist
NULL,Skye,Robles,Anaesthetist
NULL,Draven,Mcneil,Consultants
NULL,Zander,Durham,Consultants
NULL,Tony,Forbes,Surgical Resident
NULL,Jenna,Briggs,Surgical Resident
